Rgp;Rgp_lib;Dut;Dut_lib;Dut_sigle;Id Série ou type de Bac;Série ou type de Bac;Id Âge au bac;Âge au bac;Id Sexe;Sexe;Id Mention au Bac;Mention au Bac;Année de cohorte des données sur le passage entre L1 et L2;Effectif de néobacheliers de la cohorte;Passage en 2ème année de DUT en 1 an;Redoublement en 1ère année de DUT;Passage en 2ème année de DUT en 2 ans;Passage en 2ème année de DUT en 1 ou 2 ans;Année de cohorte des données sur la réussite en licence;Effectif de néobacheliers de la cohorte;Obtention du DUT en 2 ans;Obtention du DUT en 3 ans;Obtention du DUT en 2 ou 3 ans
CM;Communication et médiation;CS;Carrières sociales;CS;2;BAC ES;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;100.0;77.0;0.0;0.0;77;2013;100.0;90.0;1.0;91.0
CM;Communication et médiation;CS;Carrières sociales;CS;3;BAC S;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;2.0;1.0;1.0;1.0;2;2013;2.0;1.0;0.0;1.0
CM;Communication et médiation;CS;Carrières sociales;CS;2;BAC ES;R1;En retard d'un an;2;Femme;B;Bien;2014;1.0;2.0;0.0;0.0;2;2013;1.0;1.0;0.0;1.0
CM;Communication et médiation;CS;Carrières sociales;CS;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;1.0;1.0;0.0;0.0;1;2013;1.0;1.0;0.0;1.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;4.0;4.0;0.0;0.0;4;2013;4.0;3.0;0.0;3.0
AGSC;Administration, gestion, statistique, commerce;GACO;Gestion administrative et commerciale des organisations;GACO;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;16.0;22.0;1.0;1.0;23;2013;16.0;13.0;0.0;13.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R2;En retard de plus d'un an;2;Femme;D;Passable premier groupe;2014;7.0;0.0;2.0;2.0;2;2013;7.0;2.0;2.0;4.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;3;BAC S;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;9.0;1.0;1.0;1.0;2;2013;9.0;4.0;3.0;7.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;1.0;1.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;28.0;11.0;2.0;2.0;13;2013;28.0;9.0;5.0;14.0
CBPI;Chimie, biologie, procédés industriels;GB;Génie biologique;GB;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;B;Bien;2014;16.0;10.0;1.0;1.0;11;2013;16.0;11.0;2.0;13.0
EAI;Électronique, automatique, informatique;GE2I;Génie électrique et informatique industrielle;GE2I;3;BAC S;R2;En retard de plus d'un an;1;Homme;D;Passable premier groupe;2014;34.0;14.0;2.0;1.0;15;2013;34.0;16.0;6.0;22.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;3;BAC S;R1;En retard d'un an;2;Femme;C;Assez bien;2014;16.0;16.0;2.0;1.0;17;2013;16.0;15.0;1.0;16.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;4;BAC STMG;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;74.0;119.0;2.0;2.0;121;2013;74.0;59.0;4.0;63.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;C;Assez bien;2014;25.0;17.0;1.0;0.0;17;2013;25.0;10.0;2.0;12.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;Q;Inconnue;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
AGSC;Administration, gestion, statistique, commerce;GEA;Gestion des entreprises et administrations;GEA;6;BAC professionnel;R4;Non pris en compte;2;Femme;Q;Inconnue;2014;3.0;6.0;0.0;0.0;6;2013;3.0;1.0;1.0;2.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;2;BAC ES;R0;A l'heure ou en avance;1;Homme;P;Passable deuxième groupe;2014;1.0;1.0;0.0;0.0;1;2013;1.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;3;BAC S;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;2.0;3.0;0.0;0.0;3;2013;2.0;2.0;0.0;2.0
SIMC;Sciences industrielles, matériaux, contrôle;GIM;Génie industriel et maintenance;GIM;5;BAC technologique hors STMG;R1;En retard d'un an;2;Femme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;1.0;1.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;2.0;2.0;0.0;0.0;2;2013;2.0;;;
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;4;BAC STMG;R1;En retard d'un an;1;Homme;C;Assez bien;2014;25.0;16.0;3.0;0.0;16;2013;25.0;19.0;3.0;22.0
AGSC;Administration, gestion, statistique, commerce;GLT;Gestion logistique et transport;GLT;5;BAC technologique hors STMG;R1;En retard d'un an;1;Homme;Q;Inconnue;2014;2.0;2.0;0.0;0.0;2;2013;2.0;;;
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;2;BAC ES;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;1.0;;;;;2013;1.0;0.0;0.0;0.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;3;BAC S;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;26.0;23.0;3.0;4.0;27;2013;26.0;24.0;1.0;25.0
SIMC;Sciences industrielles, matériaux, contrôle;GMP;Génie mécanique et productique;GMP;3;BAC S;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;11.0;1.0;2.0;1.0;2;2013;11.0;2.0;4.0;6.0
