,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
471,CREATIONS CHOCOLAT,68 AVENUE DE PARIS,91790,BOISSY SOUS SAINT YON,15970534,2021-04-15T02:00:00+02:00,Chocolatier,Très satisfaisant,,Chocolatier,48.546608,2.21542
474,AU PAIN GAULOIS,4 RUE LUCIEN SAMPAIX,91390,MORSANG SUR ORGE,15977137,2021-04-21T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.65508,2.356466
496,ENTRE LA POIRE ET LE FROMAGE,11 GRANDE RUE,91470,LES MOLIERES,16038611,2021-06-11T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.672207,2.06771
530,MADAME IDALIA MEAUX,36 AVENUE MAZARIN,91380,CHILLY MAZARIN,16079601,2021-07-06T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.705454,2.314732
531,HERACLES,9 RUE D AUVERGNE,91120,PALAISEAU,16078176,2021-07-08T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.714687,2.247792
532,L'AROME (FURCIA),17 R DU DOCTEUR BABIN,91470,FORGES LES BAINS,16337180,2022-02-11T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.627719,2.101847
553,AU PAIN DE SUCRE (MONSIEUR LAURENT HOUDUSSE),3 B RUE JEAN JAURES,91700,VILLIERS SUR ORGE,16011319,2021-05-25T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.657929,2.30153
559,BATEAU CHOCOLATE,13 RUE ALFRED DE VIGNY,91780,CHALO SAINT MARS,16168139,2021-09-16T02:00:00+02:00,_,A améliorer,,,48.427865,2.058055
560,LE BISTROT DE GIF (ORCEENNE D'INVESTISSEMENTS),10 ALL DU VAL FLEURY,91190,GIF SUR YVETTE,16159168,2021-09-14T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.70219,2.136272
566,CHICKEN SQUARE,2 RUE DES EGLANTIERS,91700,SAINTE GENEVIEVE DES BOIS,15977147,2021-04-21T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.638496,2.330787
581,JSC MOREIRA,49 RUE DE MONTLHERY,91240,SAINT MICHEL SUR ORGE,15949522,2021-03-29T02:00:00+02:00,Boulangerie-Pâtisserie,Très satisfaisant,,Boulangerie-Pâtisserie,48.634772,2.303172
600,FAMILY BURGER (BHA),124 AV FRANCOIS MITTERRAND,91200,ATHIS MONS,16237453,2021-11-16T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.706721,2.371681
604,SAS LAWSON,6 Avenue de l'Océanie,91940,LES ULIS,15980936,2021-04-09T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.679475,2.200896
626,CEDRE D'OR,22 VOIE DU MORT RU,91310,LONGPONT SUR ORGE,16048068,2021-06-18T02:00:00+02:00,Traiteur,Très satisfaisant,,Traiteur,48.653103,2.276008
631,PIANETA,5 BD NELATON,91460,MARCOUSSIS,16053780,2021-06-22T02:00:00+02:00,_,Satisfaisant,,,48.642545,2.228926
652,SUSHI GOURMET VILLEBON,chemin de briis,91140,VILLEBON SUR YVETTE,15989222,2021-04-30T02:00:00+02:00,Traiteur,Très satisfaisant,,Traiteur,48.705718,2.254734
657,PLANETE PIZZA (KHMA),4 RUE DE LA CITE,91580,ETRECHY,16193586,2021-10-08T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.492741,2.190651
659,DELICIA PIZZA - MDK (NADIA),11 RUE DE MONTLHERY,91310,LONGPONT SUR ORGE,16069087,2021-06-25T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.634562,2.289303
665,BONHEUR 2,17 PL DU MARCHE,91310,MONTLHERY,16128654,2021-08-17T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.639178,2.270497
670,L'ORIGAN,8 VOIE DU MORT RU,91310,LONGPONT SUR ORGE,16068404,2021-07-02T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.652321,2.275453
679,BOULANGERIE - PATISSERIE LA PLACE,1 PL JEAN MONNET,91170,VIRY CHATILLON,15964793,2021-04-12T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.681198,2.371204
680,OSAKA (JUBAOPEN),2 PL DE LA REPUBLIQUE,91400,ORSAY,16330651,2022-02-07T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.696797,2.184723
754,AKSARAY 68,44 GRANDE RUE,91290,ARPAJON,16169121,2021-09-21T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.591371,2.247647
767,LA CAVE DE L HUREPOIX,2 RUE DE PARIS,91470,LIMOURS,16096874,2021-07-22T02:00:00+02:00,_,Très satisfaisant,,,48.646234,2.076141
776,LA BOITE A CHOUX,31 AV DU GENERAL DE GAULLE,91530,SAINT CHERON,16002178,2021-05-11T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.553374,2.122944
801,CROUSTI POULET (NALAN),AV DE MOUSSEAU,91000,EVRY COURCOURONNES,16319034,2022-01-25T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.62932,2.452371
817,PRORESTO LES ULIS,124 AV DES CHAMPS LASNIERS,91940,LES ULIS,16025076,2021-06-03T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.684148,2.170113
831,LA REINE DU BLE,17 PL DE LA COMMUNE,91000,EVRY COURCOURONNES,16011273,2021-05-21T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.621886,2.440849
834,NEW JAPAN ZHENG,31 RTE D ORLEANS RN 20,91310,MONTLHERY,16128697,2021-08-17T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.640091,2.267813
841,LMDT FLEURY,5 RUE DU CHENE A CHAMPAGNE,91700,FLEURY MEROGIS,16196884,2021-10-12T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.64321,2.36307
851,SAS BLAINVILLE,18 GRANDE RUE,91650,BREUILLET,16077413,2021-07-08T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.56617,2.171015
861,LA FOURMI VERTE,88 RUE CHARLES DE GAULLE,91440,BURES SUR YVETTE,16046162,2021-06-17T02:00:00+02:00,Alimentation générale,Très satisfaisant,,Alimentation générale,48.696553,2.155035
864,AGOUSSIF,RUE BOIELDIEU,91240,SAINT MICHEL SUR ORGE,15986226,2021-04-27T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.630796,2.319023
878,PIZZA SERVICE,42 GRANDE RUE,91840,SOISY SUR ECOLE,16133584,2021-08-17T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.476003,2.49301
896,ANGE ROAD,6 RUE DES PETITS CHAMPS,91100,VILLABE,15968578,2021-04-14T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.592905,2.439974
