REG,CS1,CE,SEXE,BRUT_EQTP,P10_BRUT_EQTP,P20_BRUT_EQTP,P30_BRUT_EQTP,P40_BRUT_EQTP,P50_BRUT_EQTP,P60_BRUT_EQTP,P70_BRUT_EQTP,P80_BRUT_EQTP,P90_BRUT_EQTP
27,5,C,E,26899,19943,21382,22545,23730,25025,26515,28410,31089,35935
27,6N,C,H,25966,18886,21175,22587,23822,25118,26596,28470,30853,34421
27,6N,C,F,24200,17627,20133,21555,22624,23671,24907,26303,28327,31694
27,6N,C,E,25425,18602,20800,22258,23405,24651,26045,27786,30113,33717
27,6Q,C,H,30554,22153,24194,25892,27525,29169,30926,33008,35764,40470
27,6Q,C,F,27316,20665,22391,23654,24858,26060,27448,29142,31385,35176
27,6Q,C,E,30149,21899,23879,25516,27121,28746,30501,32568,35299,39943
27,T,C,H,36261,21752,24133,26299,28537,30956,33818,37671,43702,55476
27,T,C,F,30854,20340,22206,23738,25360,27198,29471,32507,36982,45334
27,T,C,E,34275,21090,23242,25176,27213,29503,32215,35774,41224,51762
27,3,N,H,57908,20876,26908,33597,40295,46170,52975,61852,75537,102428
27,3,N,F,49359,24353,31881,36816,40840,44630,48682,53468,61424,76210
27,3,N,E,53902,22332,29416,35602,40613,45305,50446,57066,67951,91761
27,4,N,H,36442,20285,22648,25255,28325,31635,35585,40489,48345,58687
27,4,N,F,32757,21091,23940,26700,29072,31185,33495,36322,39894,45665
27,4,N,E,33669,20828,23596,26386,28923,31249,33888,36981,41231,48798
