,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
70,CFAI OISE,6 AVENUE PAUL HENRI SPAAK,60000,Beauvais,21-086886-1,2021-10-20T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,49.449412,2.100258
71,CHEZ HELENA,2 RUE SAINT MARTIN,60510,Laversines,22-005948-1,2022-01-26T01:00:00+01:00,Libre service|Alimentation générale,A améliorer,,Libre service|Alimentation générale,49.427188,2.1936080000000002
72,CHEZ HELENA,2 RUE SAINT MARTIN,60510,Laversines,22-006333-1,2022-01-26T01:00:00+01:00,Traiteur,A améliorer,,Traiteur,49.427188,2.1936080000000002
73,EPICERIE DU COIN,30 RUE ROGER SALENGRO,60160,Montataire,22-004230-1,2022-01-18T01:00:00+01:00,Libre service|Alimentation générale,A améliorer,,Libre service|Alimentation générale,49.261415,2.429853
74,LA BARAKA,111 PL CHARLES DE GAULLE,60230,Chambly,21-076769-1,2021-09-21T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,49.166307,2.24812
75,METRO FRANCE,rue de la Révolution Française,60740,Saint-Maximin,21-075125-1,2021-09-15T02:00:00+02:00,Entreposage de distribution de denrées alimentaires,Très satisfaisant,60589093.0,,49.235159,2.463932
76,CHICKEN TANDOORI,1 AV DU 8 MAI,60180,Nogent-sur-Oise,22-006392-1,2022-01-25T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.276157,2.464619
77,CBV,2 ALL DU GENERAL CHARLES AUBRY,60960,Feuquières,21-045550-1,2021-06-07T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,49.649345000000004,1.841867
78,LA BOITE A GATEAUX,2 RUE DE L'IMAGE,60940,Cinqueux,21-090797-1,2021-10-06T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,49.319479,2.526748
79,LIDL,LIDL,60340,Saint-Leu-d'Esserent,22-006221-1,2022-01-19T01:00:00+01:00,Rayon pain/viennoiserie/pâtisserie,Très satisfaisant,,Rayon pain/viennoiserie/pâtisserie,49.225314000000004,2.419746
80,L'HIPPOCAMPE DE CHANTILLY,115 RUE DU CONNETABLE,60500,Chantilly,22-006299-1,2022-01-26T01:00:00+01:00,Traiteur,Satisfaisant,,Traiteur,49.194078000000005,2.46755
81,CARREFOUR MARKET,CARREFOUR MARKET,60360,Crèvecoeur-le-Grand,22-006348-1,2022-01-27T01:00:00+01:00,Libre service,Très satisfaisant,,Libre service,49.603508000000005,2.084884
82,O'COUSCOUS ROYAL,2 AVENUE DE SENLIS,60800,Crépy-en-Valois,21-099119-1,2021-11-19T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,49.232263,2.8858900000000003
83,CMA BEAUVAIS,3 RUE LEONARD DE VINCI,60006,Beauvais,21-025525-1,2021-03-24T01:00:00+01:00,Découpe de viande de boucherie,Très satisfaisant,60057014.0,,49.444514,2.098667
84,PARC ASTERIX,PARC ASTERIX,60128,Plailly,21-063043-1,2021-08-05T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,49.133169,2.5720709999999998
85,LE FLAMBONNEAU,20 RUE GAMBETTA,60100,Creil,21-046423-1,2021-06-08T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.263234000000004,2.4740729999999997
86,TAJ MAHAL,24 PLACE DU GENERAL LECLERC,60600,Clermont,20-096747-1,2021-07-23T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,49.379168,2.416896
87,AUX 3 CANONS,2 RUE JULES JUILLET,60100,Creil,22-008065-1,2022-01-27T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.264332,2.4716709999999997
88,CAFE HOTEL RESTAURANT DE LA GARE DE VILLERS,2 RUE DU MARAIS,60870,Villers-Saint-Paul,22-002386-1,2022-01-13T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,49.282677,2.489129
89,PIZZA CROUSTY,36 RUE DU PONT ROYAL,60180,Nogent-sur-Oise,22-008713-1,2022-01-27T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,49.26661,2.4735400000000003
90,DELARGILLIERE VINCENT,29 rue du Bray,60112,Pierrefitte-en-Beauvaisis,21-099479-1,2021-12-07T01:00:00+01:00,Transformation de lait ou produits laitiers,Satisfaisant,60490001.0,,49.478646999999995,1.949184
