ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;semaines_d_activite;seances;entrees;entrees_2015;evolution_entrees;tranche_d_entrees;proprietaire;programmateur;ae;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;pdm_en_entrees_des_films_francais;pdm_en_entrees_des_films_americains;pdm_en_entrees_des_films_europeens;pdm_en_entrees_des_autres_films;films_art_et_essai;part_des_seances_de_films_art_et_essai;pdm_en_entrees_des_films_art_et_essai;geo
8291.0;75;L ARLEQUIN PANORAMA;ILE-DE-FRANCE;76 RUE DE RENNES;75106;Paris 6e Arrondissement;Paris;3;595;53;5026;148351;153655;3.5;De 100 à 150 000 entrées;LES ECRANS DE PARIS;NC;oui;catégorie A;RDPR;fixe;non;213;78;54;53.4696166254;14.4696581611;19.1562712005;12.904454013;132;87.987987988;85.0180680355;48.851278,2.330648
8331.0;75;UGC DANTON;ILE-DE-FRANCE;99 BD ST GERMAIN;75106;Paris 6e Arrondissement;Paris;4;684;53;8576;222504;208325;6.8;De 200 à 300 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;125;121;80;61.1471816905;24.2650524129;11.7916477925;2.79611810408;60;54.3574766355;53.5339254094;48.852138,2.338995
8341.0;75;NOUVEL ODEON;ILE-DE-FRANCE;6 RUE DE L ECOLE DE MEDECINE;75106;Paris 6e Arrondissement;Paris;1;119;53;1708;28807;38225;24.6;De 20 à 30 000 entrées;CINEDEVIL;Xanthie Films;oui;catégorie A;RDJPPR;fixe;non;105;29;12;73.7857218552;9.37157794341;12.1304178883;4.71228231305;93;85.0950118765;81.8679571868;48.850764,2.341747
8353.0;75;UGC ODEON;ILE-DE-FRANCE;124 BD ST GERMAIN;75106;Paris 6e Arrondissement;Paris;5;722;53;10829;279923;243053;15.2;De 200 à 300 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;143;135;93;47.4562647585;30.881349514;20.2845068108;1.3778789167;64;49.127343245;50.5235368298;48.852353,2.339834
8361.0;75;ESPACE SAINT MICHEL;ILE-DE-FRANCE;7 PLACE ST MICHEL;75105;Paris 5e Arrondissement;Paris;2;210;53;4308;47744;63991;25.4;De 40 à 50 000 entrées;SOCIETE DE DIFFUSION AUDIOVISUELLE;NC;oui;catégorie A;RD;fixe;non;60;39;39;65.7522180928;6.3631871791;14.5567036886;13.3278910395;42;74.9282982792;77.3958624245;48.853093,2.344228
8374.0;75;LE DESPERADO;ILE-DE-FRANCE;23 RUE DES ECOLES;75105;Paris 5e Arrondissement;Paris;2;200;53;3396;42730;48456;11.8;De 40 à 50 000 entrées;CINELUX;NC;oui;catégorie A;PR;fixe;non;361;2;0;63.3399209486;33.7727754748;2.87525306083;0.0120505157621;247;70.411871593;70.9775378386;48.848384,2.348973
8391.0;75;LE CINEMA DU PANTHEON;ILE-DE-FRANCE;13 RUE VICTOR COUSIN;75105;Paris 5e Arrondissement;Paris;1;200;53;1665;31905;30755;3.7;De 30 à 40 000 entrées;LES FILMS DE LA GARENNE;NC;oui;catégorie A;RD;fixe;non;70;15;6;72.9223378703;16.9767814251;9.98879103283;0.112089671737;61;88.9492753623;88.1729383507;48.847502,2.342301
8392.0;75;ACCATONE;ILE-DE-FRANCE;20 RUE CUJAS;75105;Paris 5e Arrondissement;Paris;1;73;53;893;10024;12479;19.7;De 10 à 20 000 entrées;ACCATONE;NC;oui;catégorie A;;fixe;non;88;68;0;70.5870526739;9.52955367913;7.22758343386;12.6558102131;77;89.289740699;88.4197828709;48.84815,2.341975
8422.0;75;LE CHAMPO;ILE-DE-FRANCE;51 RUE DES ECOLES;75105;Paris 5e Arrondissement;Paris;2;236;53;4213;100046;97532;2.6;De 100 à 150 000 entrées;SOCIETE D'EXPLOITATION DU CHAMPOLLION STUDIO DES ECOLES;NC;oui;catégorie A;PR;fixe;non;185;16;3;33.7066383516;18.3784271104;35.6349357401;12.2799987979;153;71.4421477786;75.8687355378;48.849983,2.343211
8425.0;75;QUARTIER LATIN I;ILE-DE-FRANCE;9 RUE CHAMPOLLION;75105;Paris 5e Arrondissement;Paris;2;164;53;3498;100690;97479;3.3;De 100 à 150 000 entrées;CINE SORBONNE;NC;oui;catégorie A;PR;fixe;non;382;3;1;19.449948719;48.827506547;14.5180081054;17.2045366286;350;88.9684813754;89.3803459229;48.849504,2.342788
8451.0;75;STUDIO DES URSULINES;ILE-DE-FRANCE;10 RUE DES URSULINES;75105;Paris 5e Arrondissement;Paris;1;122;50;1592;29985;28816;4.1;De 20 à 30 000 entrées;SARL DES AUTEURS REALISATEURS PRODUCTEURS ARP;NC;oui;catégorie A;JPPR;fixe;non;141;11;5;36.135030905;19.6787997253;25.5216863014;18.6644830683;129;93.7563971341;94.2733372075;48.842733,2.342044
8513.0;75;REFLET MEDICIS 2;ILE-DE-FRANCE;7 RUE CHAMPOLLION;75105;Paris 5e Arrondissement;Paris;3;372;53;5723;105540;95250;10.8;De 100 à 150 000 entrées;LES ECRANS DE PARIS;NC;oui;catégorie A;RDPR;fixe;non;248;87;41;40.5514313938;12.2228416615;20.5764697828;26.6492571619;172;80.544536603;78.1324882877;48.849591,2.342836
8514.0;75;EPEE DE BOIS;ILE-DE-FRANCE;100 RUE MOUFFETARD;75105;Paris 5e Arrondissement;Paris;2;140;53;3070;33949;33164;2.4;De 30 à 40 000 entrées;STUDIO 43;GPCI;non;non classé;;fixe;non;142;115;0;63.6642414768;26.5738680777;7.75359268835;2.0082977572;76;56.7432567433;53.2649870723;48.841535,2.34958
8522.0;75;LA CLEF;ILE-DE-FRANCE;21 RUE CLEF 34 RUE DAUBENTON;75105;Paris 5e Arrondissement;Paris;2;188;53;3222;51321;54727;6.2;De 50 à 80 000 entrées;ASSOCIATION IMAGES D'AILLEURS;NC;oui;catégorie A;RD;fixe;non;240;114;16;54.7265388496;9.48335015136;13.8062563068;21.9838546922;159;87.1090047393;83.3521695257;48.841154,2.353269
8531.0;75;LE GRAND ACTION;ILE-DE-FRANCE;5 RUE DES ECOLES;75105;Paris 5e Arrondissement;Paris;2;346;53;3135;63025;58791;7.2;De 50 à 80 000 entrées;ACTION RIVE GAUCHE;NC;oui;catégorie A;PR;fixe;non;287;23;8;17.7070710379;68.5815347329;10.5557920938;3.15560213539;221;80.8496732026;75.9080339305;48.847537,2.352122
8621.0;75;LES FAUVETTES;ILE-DE-FRANCE;58 AVENUE DES GOBELINS;75113;Paris 13e Arrondissement;Paris;5;645;53;9925;167812;109786;52.9;De 150 à 200 000 entrées;GAUMONT;Les cinemas GAUMONT-PATHE;non;non classé;;fixe;non;144;108;99;47.5875077304;42.1731601732;7.51082251082;2.72850958565;71;44.8958758677;43.46567718;48.833574,2.353775
8632.0;75;UGC  GOBELINS;ILE-DE-FRANCE;66 BIS AV DES GOBELINS;75113;Paris 13e Arrondissement;Paris;7;1148;9;2323;74045;415009;82.2;De 50 à 80 000 entrées;UGC SAS;UGC;non;non classé;;fixe;non;36;21;20;37.2786818826;62.5781619286;0.143156188804;0.0;14;30.9944037882;35.708015396;48.832888,2.354241
8661.0;75;ESCURIAL;ILE-DE-FRANCE;11 BD PORT ROYAL;75113;Paris 13e Arrondissement;Paris;2;329;53;3839;101980;102644;0.6;De 100 à 150 000 entrées;LES ECRANS DE PARIS;NC;oui;catégorie A;RDJP;fixe;non;197;106;45;56.1261998198;15.1091874877;18.9589653851;9.80564730733;169;93.1860527016;92.8129885998;48.836817,2.349632
9351.0;75;MK2 GRAND PALAIS;ILE-DE-FRANCE;COURS LA REINE PORTE C;75108;Paris 8e Arrondissement;Paris;1;92;53;1329;16285;17298;5.9;De 10 à 20 000 entrées;NC;MK2;non;non classé;;fixe;non;63;45;2;37.7801034228;55.6820980054;6.17458754001;0.363211031766;40;69.0332326284;66.8308298449;48.8649,2.314116
9452.0;75;LE LOUXOR;ILE-DE-FRANCE;170 BOULEVARD DE MAGENTA;75110;Paris 10e Arrondissement;Paris;3;556;53;6322;223620;236879;5.6;De 200 à 300 000 entrées;NC;Xanthie Films;oui;catégorie A;RDJPPR;fixe;non;279;91;51;58.5309692671;17.2624113475;16.863356974;7.34326241135;212;90.1967159811;89.5952718676;48.883487,2.349853
9600.0;75;MK2 BIBLIOTHEQUE;ILE-DE-FRANCE;128 A 162 AVENUE DE FRANCE;75113;Paris 13e Arrondissement;Paris;16;2981;53;35068;1557918;1567840;0.6;De 1,5 à 2 millions d'entrées;NC;MK2;non;non classé;;fixe;oui;382;314;280;22.8442524438;58.8734906793;14.5802775022;3.70197937479;152;27.7008787548;23.6932081613;48.833718,2.373922
