titre,nationalité,sortie,entrées (millions)
JE VOUS TROUVE TRES BEAU (EX: LA FILLE DE L'EST),FRANCE,11/01/06,"3,51"
PRETE-MOI TA MAIN (EX : RENT A WIFE),FRANCE,01/11/06,"3,45"
DOUBLURE (LA),FRANCE / ITALIE,29/03/06,"3,08"
INDIGÈNES,FRANCE / BELGIQUE,27/09/06,"3,02"
CASINO ROYALE,GRANDE BRETAGNE,22/11/06,"2,84"
X-MEN L'AFFRONTEMENT FINAL,ETATS UNIS,24/05/06,"2,81"
NE LE DIS À PERSONNE,FRANCE,01/11/06,"2,73"
"OSS 117 - LE CAIRE, NID D'ESPIONS",FRANCE,19/04/06,"2,30"
VOLVER,ESPAGNE,19/05/06,"2,30"
"MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE",ETATS UNIS,21/12/05,"2,26"
DIABLE S'HABILLE EN PRADA (LE),ETATS UNIS,27/09/06,"2,16"
CARS QUATRE ROUES,ETATS UNIS,14/06/06,"2,02"
FAUTEUILS D'ORCHESTRE,FRANCE,15/02/06,"1,93"
MISSION : IMPOSSIBLE 3,ETATS UNIS,03/05/06,"1,91"
BAMBI 2,ETATS UNIS,01/02/06,"1,85"
AZUR ET ASMAR,FRANCE / BELGIQUE / ESPAGNE / ITALIE,25/10/06,"1,61"
ERAGON,ETATS UNIS,20/12/06,"1,58"
MIAMI VICE - DEUX FLICS A MIAMI,ETATS UNIS,16/08/06,"1,57"
REBELLES DE LA FORET (LES),ETATS UNIS,18/10/06,"1,57"
NOS VOISINS LES HOMMES,ETATS UNIS,05/07/06,"1,51"
INFILTRES (LES),ETATS UNIS,29/11/06,"1,48"
NOS JOURS HEUREUX (EX:CES JOURS HEUREUX),FRANCE,28/06/06,"1,47"
SUPERMAN RETURNS,ETATS UNIS,12/07/06,"1,46"
ASTÉRIX ET LES VIKINGS,FRANCE,12/04/06,"1,37"
SECRET DE BROKEBACK MOUNTAIN (LE),ETATS UNIS,18/01/06,"1,32"
LORD OF WAR,ETATS UNIS,04/01/06,"1,31"
GARFIELD 2,ETATS UNIS,19/07/06,"1,27"
JEAN-PHILIPPE,FRANCE,05/04/06,"1,22"
MARIE ANTOINETTE,ETATS UNIS,24/05/06,"1,22"
HORS DE PRIX,FRANCE,13/12/06,"1,21"
INSIDE MAN,ETATS UNIS,12/04/06,"1,18"
MAISON DU BONHEUR (LA),FRANCE,07/06/06,"1,14"
HAPPY FEET,ETATS UNIS,06/12/06,"1,10"
IVRESSE DU POUVOIR (EX:LA COMÉDIE DU POUVOIR),FRANCE / ALLEMAGNE,22/02/06,"1,08"
SOURIS CITY,ETATS UNIS,29/11/06,"1,04"
MUNICH,ETATS UNIS,25/01/06,"1,04"
COMME T'Y ES BELLE !,FRANCE / GRANDE BRETAGNE / LUXEMBOURG / BELGIQUE,10/05/06,"1,04"
RATATOUILLE,ETATS UNIS,01/08/07,"7,67"
SPIDER-MAN 3,ETATS UNIS,01/05/07,"6,32"
HARRY POTTER ET L'ORDRE DU PHENIX,GRANDE BRETAGNE,11/07/07,"6,21"
"PIRATES DES CARAIBES, JUSQU'AU BOUT DU MONDE",ETATS UNIS,23/05/07,"5,64"
SHREK LE TROISIEME,ETATS UNIS,13/06/07,"5,55"
MOME (LA),France / REPUBLIQUE TCHEQUE / GRANDE BRETAGNE,14/02/07,"5,22"
TAXI 4,France,14/02/07,"4,55"
SIMPSON LE FILM (LES),ETATS UNIS,25/07/07,"3,55"
"ENSEMBLE, C'EST TOUT",France,21/03/07,"2,31"
A LA CROISEE DES MONDES : LA BOUSSOLE D'OR,GRANDE BRETAGNE,05/12/07,"2,29"
NUIT AU MUSEE (LA),ETATS UNIS,07/02/07,"2,27"
DIE HARD 4 RETOUR EN ENFER,ETATS UNIS,04/07/07,"2,27"
ARTHUR ET LES MINIMOYS (EX : ARTHUR),FRANCE,13/12/06,"2,25"
IL ETAIT UNE FOIS,ETATS UNIS,28/11/07,"2,19"
TRANSFORMERS,ETATS UNIS,25/07/07,"1,98"
JE SUIS UNE LEGENDE,ETATS UNIS,19/12/07,"1,88"
CŒUR DES HOMMES N°2 (LE),France,24/10/07,"1,81"
4 FANTASTIQUES ET LE SURFER D'ARGENT (LES),ETATS UNIS,08/08/07,"1,66"
UN SECRET,France / Allemagne,03/10/07,"1,65"
300,ETATS UNIS,21/03/07,"1,65"
OCEAN'S 13,ETATS UNIS,20/06/07,"1,64"
VENGEANCE DANS LA PEAU (LA),GRANDE BRETAGNE,12/09/07,"1,54"
VIE DES AUTRES (LA),ALLEMAGNE,31/01/07,"1,54"
ROIS DE LA GLISSE (LES),ETATS UNIS,24/10/07,"1,51"
RENARD ET L'ENFANT (LE),France,12/12/07,"1,49"
UN JOUR SUR TERRE,GRANDE BRETAGNE,10/10/07,"1,40"
DIALOGUE AVEC MON JARDINIER,FRANCE,06/06/07,"1,36"
PRIX À PAYER (LE),France,04/04/07,"1,34"
BLOOD DIAMOND,ETATS UNIS,31/01/07,"1,31"
PERSÉPOLIS,FRANCE,27/06/07,"1,24"
99 FRANCS,France,26/09/07,"1,23"
MOLIÈRE,France,31/01/07,"1,22"
ERAGON,ETATS UNIS,20/12/06,"1,21"
AMERICAN GANGSTER,ETATS UNIS,14/11/07,"1,17"
ROCKY BALBOA,ETATS UNIS,24/01/07,"1,15"
ZODIAC,ETATS UNIS,17/05/07,"1,13"
FAILLE (LA),ETATS UNIS,09/05/07,"1,12"
GHOST RIDER,ETATS UNIS,21/02/07,"1,07"
VACANCES DE MR BEAN (LES),GRANDE BRETAGNE,18/04/07,"1,06"
SECRET DE TARABITHIA (LE),ETATS UNIS,28/03/07,"1,05"
BIENVENUE CHEZ LES CH'TIS,France,27/02/08,"20,44"
ASTÉRIX AUX JEUX OLYMPIQUES,France / Allemagne / Espagne / Italie,30/01/08,"6,81"
MADAGASCAR 2 : LA GRANDE EVASION,ETATS UNIS,03/12/08,"4,35"
INDIANA JONES ET LE ROYAUME DU CRANE DE CRISTAL,ETATS UNIS,21/05/08,"4,21"
QUANTUM OF SOLACE,GRANDE BRETAGNE,31/10/08,"3,70"
KUNG FU PANDA,ETATS UNIS,09/07/08,"3,27"
WALL-E,ETATS UNIS,30/07/08,"3,17"
HANCOCK,ETATS UNIS,09/07/08,"3,07"
MONDE DE NARNIA (LE ) - CHAPITRE 2 - LE PRINCE CASPIAN,ETATS UNIS,25/06/08,"3,05"
THE DARK KNIGHT LE CHEVALIER NOIR,ETATS UNIS,13/08/08,"3,00"
DISCO,France,02/04/08,"2,35"
MESRINE : L'INSTINCT DE MORT,France / Canada / Italie,22/10/08,"2,26"
ENFIN VEUVE,France,16/01/08,"2,25"
IRON MAN,ETATS UNIS,30/04/08,"2,04"
SEX AND THE CITY LE FILM,ETATS UNIS,28/05/08,"1,99"
BENJAMIN GATES ET LE LIVRE DES SECRETS,ETATS UNIS,13/02/08,"1,95"
HIGH SCHOOL MUSICAL 3 : NOS ANNEES LYCEE,ETATS UNIS,22/10/08,"1,88"
VICKY CRISTINA BARCELONA,ESPAGNE,08/10/08,"1,88"
PARIS,France,20/02/08,"1,75"
HORTON,ETATS UNIS,02/04/08,"1,68"
ENTRE LES MURS,France,24/09/08,"1,58"
MAMMA MIA ! LE FILM,GRANDE BRETAGNE,10/09/08,"1,57"
MOMIE : LA TOMBE DE L'EMPEREUR DRAGON (LA ),ETATS UNIS,06/08/08,"1,56"
MESRINE : L'ENNEMI PUBLIC N°1,France,19/11/08,"1,50"
INTO THE WILD,ETATS UNIS,09/01/08,"1,42"
ECHANGE (L'),ETATS UNIS,12/11/08,"1,37"
TRANSPORTEUR 3 (LE),FRANCE,26/11/08,"1,35"
FAUBOURG 36,France / Allemagne / REPUBLIQUE TCHEQUE,24/09/08,"1,32"
PHENOMENES,ETATS UNIS,11/06/08,"1,30"
CHIMPANZES DE L'ESPACE (LES),ETATS UNIS,22/10/08,"1,25"
VOYAGE AU CENTRE DE LA TERRE 3D,ETATS UNIS,16/07/08,"1,21"
PREMIER JOUR DU RESTE DE TA VIE (LE),France,23/07/08,"1,20"
CRIME EST NOTRE AFFAIRE (LE),FRANCE,15/10/08,"1,18"
JUMPER,ETATS UNIS,20/02/08,"1,15"
LARGO WINCH,FRANCE,17/12/08,"1,12"
CASH,France,23/04/08,"1,11"
DEUX JOURS À TUER,France,30/04/08,"1,09"
WANTED : CHOISIS TON DESTIN,ETATS UNIS,16/07/08,"1,09"
AGATHE CLÉRY,France,03/12/08,"1,09"
BURN AFTER READING,ETATS UNIS,10/12/08,"1,06"
JACKPOT,ETATS UNIS,07/05/08,"1,05"
SWEENEY TODD LE DIABOLIQUE BARBIER DE FLEET STREET,ETATS UNIS,23/01/08,"1,05"
JE SUIS UNE LEGENDE,ETATS UNIS,19/12/07,"1,03"
INCROYABLE HULK (L'),ETATS UNIS,23/07/08,"1,03"
TAKEN,France,27/02/08,"1,02"
JOUR OU LA TERRE S'ARRETA (LE),ETATS UNIS,10/12/08,"1,00"
AGE DE GLACE 3 LE TEMPS DES DINOSAURES (L'),ETATS UNIS,03/07/09,"7,83"
AVATAR,ETATS UNIS,16/12/09,"6,30"
HARRY POTTER ET LE PRINCE DE SANG-MELE,GRANDE BRETAGNE,15/07/09,"6,09"
PETIT NICOLAS (LE),FRANCE / BELGIQUE,30/09/09,"5,54"
2012,ETATS UNIS,11/11/09,"4,58"
LA-HAUT,ETATS UNIS,29/07/09,"4,41"
TWILIGHT - CHAPITRE 2 : TENTATION,ETATS UNIS,18/11/09,"4,12"
LOL (LAUGHING OUT LOUD),FRANCE,04/02/09,"3,65"
ARTHUR ET LA VENGEANCE DE MALTAZARD,FRANCE,02/12/09,"3,53"
GRAN TORINO,ETATS UNIS,25/02/09,"3,44"
COCO,FRANCE,18/03/09,"2,93"
