,APP_Libelle_etablissement,SIRET,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,geores,filtre,ods_type_activite,lat,lon
7004,SOCIETE FRANCAISE DE RESTAURATION ET SERVICES,33825313111800,69 RUE DES BERCHERES,77340,Pontault-Combault,21-000450-1,2021-01-05T01:00:00+01:00,Restauration collective,Satisfaisant,77373005,"48.785371,2.609454",Restauration collective,Autres,48.785371,2.609454
7299,BOUCHERIE DU CENTRE,49103431000012,46 PLACE DU 14 JUILLET 1789,77550,Moissy-Cramayel,21-074163-1,2021-09-14T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.628258,2.590422",Boucherie-Charcuterie,Autres,48.628258,2.590422
7466,LES VIANDES DU LYS,78685046100025,252 RUE MARC SEGUIN,77190,Dammarie-les-Lys,21-039515-1,2021-05-07T02:00:00+02:00,Transformation de produits carnés,Satisfaisant,77152011,"48.51164,2.612586",,Viandes et produits carnés,48.51164,2.612586
7469,LES VIANDES DU LYS,78685046100025,252 RUE MARC SEGUIN,77190,Dammarie-les-Lys,21-039515-3,2021-05-07T02:00:00+02:00,Découpe de viande de boucherie,Satisfaisant,77152011,"48.51164,2.612586",,Viandes et produits carnés,48.51164,2.612586
7474,PIZZERIA FAVINA,38536956600026,2 rue du Moulin,77220,Tournan-en-Brie,21-065259-1,2021-07-15T02:00:00+02:00,Restaurant,Satisfaisant,,"48.739343,2.763807",Restaurant,Autres,48.739343,2.763807
7645,ECOLE ELEMENTAIRE PUBLIQUE ORME BOSSU,21770243000026,"10, Place d'Alnwick",77400,Lagny-sur-Marne,20-094252-1,2021-01-25T01:00:00+01:00,Restauration collective,Satisfaisant,77243003,"48.86541,2.709451",Restauration collective,Autres,48.86541,2.709451
7689,SOLIDARITE OUMMA,88377685800010,44 avenue de valvins,77210,Avon,21-050077-1,2021-06-19T02:00:00+02:00,Alimentation générale,Satisfaisant,,"48.420935,2.736842",Alimentation générale,Autres,48.420935,2.736842
7752,KOBANE,81447551300010,36 RUE DE PARIS,77220,Tournan-en-Brie,21-083337-1,2021-10-14T02:00:00+02:00,Restaurant,Satisfaisant,,"48.739595,2.763635",Restaurant,Autres,48.739595,2.763635
7895,INSTITUT MEDICO - EDUCATIF,77568873209617,4 RUE DES PETITS CHAMPS,77820,Le Châtelet-en-Brie,21-042219-1,2021-05-31T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.510135,2.79967",Restauration collective,Autres,48.510135,2.79967
8093,BOUCHERIE CHEZ TOI,50370705100010,24 RUE EDOUARD VAILLANT,77176,Savigny-le-Temple,21-025353-1,2021-06-16T02:00:00+02:00,Alimentation générale|Boucherie-Charcuterie,Satisfaisant,,"48.59443,2.58175",Alimentation générale|Boucherie-Charcuterie,Autres,48.59443,2.58175
8222,LA FERME NOUVELLE,52475169000016,D401,77230,Montgé-en-Goële,21-029502-1,2021-04-08T02:00:00+02:00,Chaîne d'abattage de volaille/lagomorphe/petit gibier,Satisfaisant,77308003,"49.026835,2.749774",,Abattoirs,49.026835,2.749774
8330,TG VIANDES - Mr GOBEL,75185253400013,5 RUE DE SIANTE AUBIERGE,77515,Saint-Augustin,21-016128-1,2021-02-23T01:00:00+01:00,Transformation de produits carnés,Satisfaisant,77400002,"48.774804,3.02013",,Viandes et produits carnés,48.774804,3.02013
8333,TG VIANDES - Mr GOBEL,75185253400013,5 RUE DE SIANTE AUBIERGE,77515,Saint-Augustin,21-014872-1,2021-02-23T01:00:00+01:00,Découpe de viande de boucherie,Très satisfaisant,77400002,"48.774804,3.02013",,Viandes et produits carnés,48.774804,3.02013
8336,TG VIANDES - Mr GOBEL,75185253400013,5 RUE DE SIANTE AUBIERGE,77515,Saint-Augustin,21-016128-3,2021-02-23T01:00:00+01:00,Transport de denrées alimentaires,Très satisfaisant,,"48.774804,3.02013",,Transport et entreposage de denrées alimentaires,48.774804,3.02013
