,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
31777,DALAT VIETNAM,31 RUE DE LA SABLIERE,75014,Paris 14e  Arrondissement,21-059615-1,2021-07-26T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.832054,2.32204
31780,BOUCHERIE DU LIMOUSIN,205 RUE D ALESIA,75014,Paris 14e  Arrondissement,21-002098-1,2021-01-07T01:00:00+01:00,Boucherie-Charcuterie,Satisfaisant,,Boucherie-Charcuterie,48.831639,2.314452
31788,2FFROMAGES,31 AV FELIX FAURE,75015,Paris 15e  Arrondissement,21-095226-1,2021-11-23T01:00:00+01:00,Fromagerie,Très satisfaisant,,Fromagerie,48.841525,2.28924
31798,BAGELSTEIN,13 RUE DES PYRAMIDES,75001,Paris 1er Arrondissement,21-062127-1,2021-08-04T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.865113,2.33294
31806,SEASON,1 RUE CHARLES FRANCOIS DUPUIS,75003,Paris 3e  Arrondissement,21-049735-1,2021-06-23T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.865175,2.362825
31809,SOGERES / LE MILLENAIRE,LE MILLENAIRE II,75019,Paris,21-084488-1,2021-10-13T02:00:00+02:00,Restauration collective,A améliorer,,Restauration collective,48.885571,2.375345
31823,HANNADIS,29 AV DE LAUMIERE,75019,Paris 19e  Arrondissement,21-038094-1,2021-05-13T02:00:00+02:00,Libre service,Très satisfaisant,,Libre service,48.88384,2.380351
31828,AU TAQUET,19 RUE BLEUE,75009,Paris 9e  Arrondissement,21-077510-1,2021-09-23T02:00:00+02:00,Restaurant,A améliorer,,Restaurant,48.875867,2.34586
31829,LE MOULIN DE LAUMIERE,3 AV DE LAUMIERE,75019,Paris 19e  Arrondissement,21-061651-1,2021-08-03T02:00:00+02:00,Boulangerie-Pâtisserie,Satisfaisant,,Boulangerie-Pâtisserie,48.882858,2.381242
31830,CHEZ GINETTE,CHEZ GINETTE,75018,Paris 18e  Arrondissement,21-095251-1,2021-11-24T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.900005,2.345438
31831,ECOLE PRIM PRIVEE MARIE FENELON AUGUSTIN,"17 bis, RUE DE TOCQUEVILLE",75017,Paris 17e  Arrondissement,21-094584-1,2021-11-23T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.883048,2.312938
